COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
38,913.333,1671.28,660,659.487,660.513,716.41,1533.33,1074.36,1733.33,1162.56,1237.44,660,1037.95,1800.51,2043,1941,9.198,0,0,0,0,
39,1070.26,1680,660.513,659.487,660.513,757.949,1576.41,1108.21,1746.15,1191.79,1234.36,660,1025.64,1895.9,2056,1940,9.208,0,0,0,0,
40,1117.44,1634.87,660,660,660,740.513,1495.9,1060.51,1730.77,1182.56,1256.41,660,933.846,1818.97,2066,1964,9.218,0,0,0,0,
41,924.615,1591.28,660,659.487,661.538,698.974,1509.74,1076.41,1724.1,1154.87,1278.97,660,892.308,1648.72,2071,1982,9.228,0,0,0,0,
42,684.615,1600,662.564,660,664.615,689.231,1600.51,1137.44,1741.54,1176.41,1236.92,660.513,1002.56,1594.87,2054,2016,9.238,0,0,0,0,
43,636.41,1617.95,664.103,662.051,666.154,681.538,1508.72,1057.44,1744.62,1211.28,1207.69,660,1118.97,1620,2043,2022,9.243,0,0,0,0,
44,671.795,1621.03,663.077,663.59,665.641,671.795,1361.54,933.333,1725.13,1203.08,1246.15,659.487,1131.79,1626.67,2035,2044,9.247,0,0,0,0,
45,653.333,1635.38,663.077,663.59,665.641,683.59,1370.26,965.128,1711.79,1188.21,1266.15,662.564,1105.64,1682.56,2041,2046,9.26,0,0,0,0,
46,644.103,1644.62,663.59,663.59,665.641,691.795,1395.9,1053.85,1702.05,1184.62,1245.64,665.128,1071.28,1753.33,2056,2009,9.26,0,0,0,0,
47,662.051,1628.21,663.59,663.59,665.641,697.949,1389.23,1074.87,1697.44,1181.03,1246.15,664.103,1024.1,1715.9,2060,1980,9.27,0,0,0,0,
48,664.615,1605.64,663.59,663.59,665.641,720.513,1435.38,1058.97,1711.28,1193.85,1253.33,663.077,995.385,1608.72,2053,1975,9.28,0,0,0,0,
49,663.077,1602.05,663.59,663.59,665.641,732.308,1474.36,1031.79,1726.15,1214.36,1246.15,664.615,991.795,1551.28,2054,1994,9.29,0,0,0,0,
50,664.103,1617.95,663.59,663.59,665.641,733.333,1480,1019.49,1729.23,1218.97,1233.33,664.615,1004.1,1577.44,2059,2016,9.3,0,0,0,0,
51,662.564,1625.13,663.59,663.59,665.641,745.128,1477.44,1037.95,1715.9,1209.74,1221.03,664.103,1022.05,1618.97,2051,2046,9.3,0,0,0,0,
52,663.077,1624.62,663.59,663.59,665.641,755.385,1462.05,1067.69,1704.1,1199.49,1221.03,664.615,1040,1628.72,2040,2045,9.31,0,0,0,0,
53,663.077,1631.28,663.59,663.59,665.641,760.513,1448.21,1081.54,1703.08,1196.92,1227.69,664.615,1054.87,1616.41,2027,2033,9.32,0,0,0,0,
54,663.59,1632.82,663.59,663.59,665.641,768.718,1447.69,1070.26,1703.08,1204.62,1240,664.103,1059.49,1598.97,2030,2026,9.33,0,0,0,0,
55,663.59,1623.59,663.59,663.59,665.641,769.744,1455.9,1056.41,1709.23,1221.03,1255.9,664.103,1032.82,1582.56,2044,2019,9.34,0,0,0,0,
56,663.59,1622.56,663.59,663.59,665.641,771.795,1466.15,1050.26,1722.05,1233.33,1259.49,664.103,993.846,1578.97,2051,2023,9.34,0,0,0,0,
57,663.59,1629.23,663.59,663.59,665.641,782.051,1470.77,1050.26,1722.56,1232.82,1251.79,664.615,1005.13,1583.08,2055,2025,9.35,0,0,0,0,
58,663.59,1629.23,663.59,663.59,665.641,790.256,1471.28,1059.49,1708.21,1226.15,1249.23,664.615,1064.1,1576.92,2052,2025,9.36,0,0,0,0,
59,663.59,1631.79,663.59,663.59,665.641,797.436,1471.28,1074.87,1703.08,1224.1,1252.31,664.103,1096.41,1568.21,2046,2019,9.37,0,0,0,0,
60,663.59,1638.97,663.59,663.59,665.641,803.077,1470.77,1090.26,1706.67,1229.23,1254.87,664.103,1087.69,1569.23,2046,2017,9.38,0,0,0,0,
61,663.59,1640.51,663.59,663.59,665.641,805.128,1471.79,1095.9,1705.13,1235.9,1260.51,664.103,1073.85,1568.72,2045,2017,9.38,0,0,0,0,
62,663.59,1639.49,663.59,663.59,665.641,811.795,1483.08,1085.13,1711.79,1242.56,1269.74,664.615,1061.03,1575.9,2046,2017,9.39,0,0,0,0,
63,663.59,1640,663.59,663.59,665.641,820.513,1496.41,1073.33,1720.51,1249.23,1272.82,664.615,1044.62,1592.82,2047,2018,9.4,0,0,0,0,
64,663.59,1641.03,664.103,663.59,665.641,824.615,1492.82,1077.95,1721.03,1250.77,1271.79,664.103,1047.18,1599.49,2047,2021,9.41,0,0,0,0,
65,663.077,1643.59,664.615,664.103,665.641,830.256,1484.62,1093.33,1721.54,1249.74,1271.79,664.103,1075.38,1597.44,2047,2022,9.41,0,0,0,0,
66,663.59,1645.64,664.615,664.615,665.641,838.974,1485.13,1113.33,1714.36,1249.23,1272.82,664.103,1097.95,1594.87,2046,2025,9.42,0,0,0,0,
67,663.077,1644.1,664.615,664.615,665.641,845.641,1489.23,1124.1,1704.1,1248.72,1274.87,664.615,1087.18,1588.21,2047,2026,9.43,0,0,0,0,
68,662.564,1641.54,664.615,664.615,665.641,852.821,1496.92,1115.9,1711.28,1256.92,1278.97,664.615,1077.44,1577.95,2046,2025,9.443,0,0,0,0,
69,664.615,1644.62,664.615,664.615,665.641,853.333,1508.21,1103.59,1724.1,1269.74,1282.56,664.103,1091.28,1576.92,2045,2024,9.451,0,0,0,0,
70,666.667,1653.33,664.615,664.615,665.641,856.41,1509.23,1105.64,1722.05,1270.26,1286.15,664.103,1095.38,1584.1,2044,2023,9.459,0,0,0,0,
71,668.718,1657.44,664.615,664.615,665.641,868.718,1502.05,1118.46,1719.49,1265.64,1292.31,664.103,1090.26,1593.33,2046,2021,9.467,0,0,0,0,
72,671.795,1654.87,664.615,664.615,665.641,873.333,1498.97,1134.87,1723.08,1270.26,1291.79,664.615,1103.08,1603.08,2047,2021,9.471,0,0,0,0,
73,677.436,1653.85,664.615,664.615,665.641,875.385,1502.56,1142.56,1722.05,1273.85,1289.23,664.615,1114.87,1605.64,2049,2019,9.479,0,0,0,0,
74,684.103,1655.38,664.615,664.103,665.641,885.641,1511.28,1131.79,1720.51,1277.95,1296.92,664.103,1109.23,1601.03,2049,2018,9.487,0,0,0,0,
75,691.282,1654.87,664.103,664.103,665.641,890.256,1519.49,1123.59,1722.05,1285.13,1304.62,664.103,1110.77,1594.36,2050,2020,9.496,0,0,0,0,
76,701.026,1654.87,664.103,664.615,665.641,888.205,1519.49,1132.82,1723.59,1287.69,1302.56,664.103,1125.13,1589.23,2049,2022,9.506,0,0,0,0,
77,707.692,1655.9,664.103,664.103,665.641,896.41,1515.38,1146.67,1723.08,1286.15,1302.05,664.615,1133.33,1595.9,2044,2023,9.506,0,0,0,0,
78,707.692,1655.9,664.615,664.103,665.641,905.128,1516.92,1154.87,1722.56,1289.74,1305.13,664.103,1134.36,1607.69,2043,2023,9.516,0,0,0,0,
79,706.667,1657.44,665.128,665.641,665.641,905.128,1519.49,1157.95,1722.05,1290.26,1307.18,664.103,1136.41,1611.28,2042,2021,9.526,0,0,0,0,
80,712.308,1658.46,667.692,666.154,665.641,913.846,1518.46,1157.44,1721.54,1292.31,1313.33,665.128,1140.51,1610.26,2043,2023,9.536,0,0,0,0,
81,722.051,1664.62,672.821,665.641,665.641,924.615,1525.64,1155.9,1729.74,1302.05,1320.51,666.154,1139.49,1613.85,2045,2023,9.536,0,0,0,0,
82,731.282,1671.79,676.41,665.128,665.641,920.513,1531.79,1160,1738.97,1307.69,1320.51,665.641,1138.46,1613.85,2048,2022,9.546,0,0,0,0,
83,745.128,1673.33,684.615,665.128,665.641,917.949,1526.67,1167.69,1736.92,1306.67,1322.05,665.128,1148.72,1610.26,2048,2019,9.556,0,0,0,0,
84,755.385,1671.28,691.282,665.128,665.641,932.308,1518.97,1174.36,1735.38,1305.13,1323.08,665.128,1162.05,1610.77,2049,2019,9.566,0,0,0,0,
85,754.872,1672.31,693.333,665.128,665.641,940.513,1524.1,1178.97,1738.97,1306.15,1322.56,665.128,1166.15,1611.28,2048,2019,9.576,0,0,0,0,
86,758.462,1672.31,700,665.128,665.641,935.385,1531.79,1182.05,1738.97,1313.85,1329.74,665.128,1164.62,1610.26,2046,2020,9.576,0,0,0,0,
87,770.769,1671.28,709.744,665.128,665.128,940.513,1534.36,1183.59,1736.92,1322.05,1336.41,665.128,1167.18,1613.85,2045,2023,9.586,0,0,0,0,
88,772.308,1671.79,713.846,664.615,665.641,953.333,1537.95,1184.62,1736.92,1322.05,1335.38,665.128,1169.74,1622.05,2044,2022,9.596,0,0,0,0,
89,769.744,1673.33,721.538,665.128,665.641,954.872,1541.54,1189.74,1737.44,1319.49,1336.92,665.128,1168.21,1627.18,2044,2024,9.606,0,0,0,0,
90,782.051,1674.36,734.359,667.692,665.128,951.795,1538.46,1197.44,1737.95,1325.64,1339.49,665.128,1172.82,1625.64,2046,2022,9.616,0,0,0,0,
91,788.718,1673.33,740,671.282,666.154,963.59,1532.82,1203.08,1739.49,1333.85,1343.08,664.615,1184.1,1623.08,2048,2022,9.616,0,0,0,0,
92,785.128,1673.85,746.154,674.872,668.718,972.308,1539.49,1204.1,1738.97,1334.87,1349.74,666.667,1188.72,1623.59,2047,2022,9.626,0,0,0,0,
93,791.795,1675.9,752.821,675.385,668.718,968.205,1550.26,1205.13,1737.44,1334.36,1352.82,669.744,1189.23,1622.56,2046,2022,9.636,0,0,0,0,
