COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
100,4028.21,4012.31,4017.44,4061.03,4149.23,4196.41,3967.18,3950.26,4124.1,3975.9,4014.36,3987.69,4088.21,4088.72,2070,2046,2.879,0,0,0,0,
101,4022.56,4004.62,4006.67,4049.23,4127.18,4178.97,3958.97,3941.54,4129.23,3993.85,4007.69,3993.33,4086.67,4091.79,2072,2047,2.881,0,0,0,0,
102,4013.33,3992.82,3996.41,4037.95,4075.9,4158.46,3954.87,3940,4106.15,3966.15,3989.74,3988.21,4077.95,4077.95,2072,2049,2.887,0,0,0,0,
103,3991.79,3973.85,3978.97,4027.69,4111.28,4188.72,3947.69,3927.18,4080,3926.67,3959.49,3960.51,4049.23,4040,2070,2052,2.895,0,0,0,0,
104,3997.44,3975.38,3977.95,4026.15,4159.49,4201.54,3944.62,3937.95,4107.69,3944.62,3969.23,3961.03,4058.97,4038.46,2068,2050,2.903,0,0,0,0,
105,4026.67,3993.85,4002.05,4037.44,4123.08,4163.08,3958.46,3976.41,4149.74,4010.26,4009.74,3996.41,4093.85,4078.46,2068,2047,2.911,0,0,0,0,
106,4032.82,3988.72,4011.79,4037.44,4096.92,4163.08,3986.67,3982.05,4128.72,4005.64,4011.28,4007.69,4092.31,4085.13,2070,2049,2.919,0,0,0,0,
107,4023.08,3978.97,4000.51,4023.59,4106.67,4189.74,3987.69,3963.59,4092.31,3946.15,3985.13,3989.23,4077.44,4066.67,2075,2050,2.926,0,0,0,0,
108,4015.38,3985.13,3986.15,4020,4074.36,4171.28,3958.46,3950.77,4102.56,3929.74,3972.31,3971.79,4077.44,4060.51,2079,2050,2.934,0,0,0,0,
109,4012.82,3983.08,3985.13,4027.18,4069.23,4165.13,3963.08,3955.38,4134.36,3953.85,3988.72,3976.92,4079.49,4057.44,2087,2048,2.949,0,0,0,0,
110,4023.59,3975.9,3996.92,4024.1,4131.79,4193.85,3987.69,3974.36,4140,3967.18,4000.51,3992.31,4074.36,4060,2092,2049,2.95,0,0,0,0,
111,4026.67,3977.44,3996.92,4010.77,4147.69,4189.74,3966.15,3979.49,4124.1,3979.49,3982.56,3980,4067.69,4061.03,2103,2041,2.962,0,0,0,0,
112,4020.51,3973.33,3986.67,4002.05,4109.74,4170.77,3944.62,3971.79,4122.05,3995.9,3976.92,3967.69,4079.49,4054.87,2106,2037,2.966,0,0,0,0,
113,4021.54,3964.1,3980,4004.1,4096.92,4181.54,3958.97,3970.77,4129.74,3974.87,3989.23,3978.46,4094.36,4048.21,2108,2029,2.973,0,0,0,0,
114,4008.72,3957.44,3967.69,4009.23,4097.95,4192.82,3947.18,3956.41,4113.85,3932.82,3972.31,3966.15,4066.67,4037.44,2108,2029,2.98,0,0,0,0,
115,4020,3975.9,3981.54,4023.59,4098.46,4181.03,3942.05,3968.72,4122.56,3958.97,3980.51,3975.9,4067.69,4056.41,2108,2030,2.989,0,0,0,0,
116,4062.05,4007.18,4019.49,4042.05,4128.72,4184.1,3975.38,4008.72,4165.13,4034.87,4029.23,4029.23,4113.33,4092.31,2106,2034,2.996,0,0,0,0,
117,4048.72,3994.36,4003.59,4033.33,4130.77,4200,3967.18,3991.79,4148.21,4017.44,4008.72,4017.95,4094.87,4066.67,2103,2038,3.004,0,0,0,0,
118,4019.49,3970.26,3975.38,4019.49,4077.44,4186.15,3933.33,3960.51,4110.26,3947.69,3970.77,3976.92,4055.9,4034.36,2101,2040,3.013,0,0,0,0,
119,4027.69,3961.03,3984.1,4022.05,4061.54,4170.77,3938.97,3970.26,4108.72,3926.15,3985.64,3983.08,4064.62,4041.03,2098,2041,3.02,0,0,0,0,
