COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
112,4164.62,3703.59,4182.05,4206.67,4019.49,4069.74,4274.36,4284.62,4135.9,4111.28,4266.15,4198.46,3656.41,4275.9,2051,2039,8.842,0,0,0,0,
113,4176.41,3725.13,4193.85,4201.03,4029.74,4080.51,4279.49,4298.46,4145.13,4141.54,4283.08,4215.9,3673.85,4290.77,2053,2038,8.85,0,0,0,0,
114,4186.67,3730.77,4201.54,4202.05,4054.36,4084.62,4284.62,4301.54,4154.36,4174.36,4295.38,4234.36,3687.18,4307.18,2054,2037,8.858,0,0,0,0,
115,4193.85,3729.23,4209.74,4197.44,4095.38,4096.41,4302.05,4313.85,4158.46,4173.33,4303.08,4241.03,3700.51,4324.1,2056,2039,8.866,0,0,0,0,
116,4215.38,3753.85,4227.69,4191.28,4119.49,4104.1,4323.08,4342.56,4170.77,4176.92,4314.87,4259.49,3721.03,4345.64,2056,2040,8.875,0,0,0,0,
117,4227.69,3770.77,4230.26,4178.97,4102.56,4100,4325.64,4348.21,4174.36,4185.13,4317.44,4270.26,3731.79,4349.23,2059,2038,8.882,0,0,0,0,
118,4218.97,3756.41,4222.56,4161.03,4081.54,4102.05,4329.74,4342.56,4166.67,4182.05,4311.28,4262.56,3730.77,4343.59,2059,2036,8.893,0,0,0,0,
119,4222.05,3752.82,4233.33,4148.72,4083.08,4112.31,4350.77,4366.15,4176.41,4182.56,4318.97,4268.21,3741.54,4352.31,2059,2037,8.898,0,0,0,0,
120,4236.41,3769.74,4247.69,4144.1,4101.03,4116.92,4362.56,4388.21,4195.9,4207.69,4333.33,4282.05,3757.95,4365.64,2058,2037,8.906,0,0,0,0,
121,4247.69,3777.95,4254.87,4133.33,4125.64,4125.64,4368.21,4388.72,4201.54,4233.85,4342.05,4289.23,3772.82,4378.46,2057,2035,8.914,0,0,0,0,
122,4260.51,3788.21,4266.15,4123.08,4151.79,4139.49,4384.62,4397.44,4202.56,4230.26,4354.36,4301.54,3795.38,4397.44,2055,2036,8.921,0,0,0,0,
123,4267.18,3799.49,4269.74,4121.03,4160,4130.77,4401.03,4412.31,4204.62,4221.54,4352.31,4307.18,3802.56,4403.08,2054,2036,8.929,0,0,0,0,
124,4260,3795.9,4261.54,4117.95,4142.56,4102.56,4405.13,4405.64,4197.95,4230.26,4325.64,4301.54,3792.31,4393.33,2054,2035,8.937,0,0,0,0,
125,4256.41,3795.9,4261.03,4113.85,4134.87,4095.38,4408.21,4397.44,4193.33,4226.67,4308.21,4299.49,3801.03,4399.49,2054,2035,8.945,0,0,0,0,
126,4269.23,3813.33,4272.31,4116.41,4171.28,4116.92,4418.97,4412.82,4204.1,4220,4313.85,4297.95,3824.1,4414.87,2055,2034,8.953,0,0,0,0,
127,4282.56,3834.36,4286.67,4120,4193.33,4130.26,4434.87,4435.38,4215.9,4250.26,4326.67,4305.64,3833.85,4424.1,2054,2035,8.962,0,0,0,0,
